type,warp_execution_efficiency,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_sync,stall_pipe_busy,shared_efficiency,achieved_occupancy,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,dram_utilization,time
cudnn,1,0.82,0.75,0.12,0.3,0.11,0.13,0.03,0.62,0.38,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,354.7
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,269.82
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,982.29
cudnn,1,0.82,0.75,0.08,0.31,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,355.69
trt,1,0.59,0.57,0.08,0.22,0.15,0.17,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,266.47
cublas,1,0.94,1,0.07,0.11,0.48,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,980.63
cudnn,1,0.82,0.75,0.07,0.31,0.12,0.14,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,355.63
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,261.59
cublas,1,0.94,1,0.06,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,982.05
cudnn,1,0.82,0.75,0.12,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,354.31
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,266.71
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,982.33
cudnn,1,0.82,0.75,0.09,0.31,0.11,0.13,0.03,0.62,0.36,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,357.19
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,268.86
cublas,1,0.94,1,0.06,0.11,0.48,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,984.13
